,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total,,1.349.959,1.570.566,1.720.746,1.916.400,2.057.620,2.139.961,2.299.187,2.597.803,2.845.623,3.163.639,3.214.934,3.455.709,3.744.461,4.032.339,4.419.430,4.371.787,896.523,444.331,2.009.275
1,Alemania,35.821,43.661,43.760,50.445,52.173,51.864,53.201,56.197,62.051,62.570,68.703,74.489,74.208,78.199,81.684,86.307,17.779,9.146,41.551
2,Argentina,50.272,61.686,69.256,82.722,97.478,121.172,127.062,147.403,158.950,155.145,155.931,170.960,175.488,205.465,216.041,214.608,45.092,14.049,80.426
3,Aruba,651,463,443,483,260,254,253,286,307,355,186,217,242,190,200,300,33,94,124
4,Australia,16.534,20.325,22.179,25.617,28.542,30.947,29.659,30.436,35.745,36.373,41.842,41.568,42.870,41.810,39.565,41.347,6.383,572,9.348
5,Austria,4.652,5.933,6.144,6.693,6.025,6.087,6.454,6.791,7.498,7.813,7.964,8.154,8.187,8.874,9.083,9.622,1.664,841,4.233
6,Bélgica,8.369,8.984,8.990,12.005,12.740,11.874,11.520,12.383,13.214,13.893,15.398,15.524,16.697,16.181,16.655,16.953,2.170,2.020,10.280
7,Bielorrusia,579,816,758,464,332,330,551,367,781,512,431,725,756,1.359,553,596,133,105,234
8,Bolivia,66.933,72.910,85.365,87.399,86.619,93.408,86.181,88.042,101.546,111.983,126.689,128.943,136.805,146.660,158.974,188.642,52.445,4.340,97.776
9,Brasil,34.416,44.543,45.265,53.558,64.573,82.764,87.674,117.537,126.085,143.538,147.875,148.312,148.296,173.753,177.711,193.898,34.446,10.542,89.418
10,Bulgaria,193,326,437,550,740,753,686,917,1.064,965,1.248,1.276,1.490,1.490,1.714,1.668,304,331,1.133
11,Canadá,26.665,35.196,41.443,43.992,51.975,54.595,52.955,57.454,61.362,62.820,68.194,70.560,71.833,77.563,86.634,94.475,19.383,7.872,40.662
12,Chile,306.275,344.296,420.801,470.457,452.705,464.153,595.944,741.717,806.929,886.485,903.793,984.584,1.055.880,1.101.055,1.159.188,1.196.234,288.397,36.744,365.621
13,China (R.P.),4.990,5.295,7.884,7.465,8.043,9.257,9.484,11.896,12.180,12.864,16.607,19.243,25.648,31.408,37.740,41.067,5.748,2.231,7.712
14,Colombia,39.733,49.143,54.505,62.811,76.559,87.225,98.642,112.816,133.975,134.725,151.876,165.384,189.754,200.812,219.452,223.943,48.950,40.952,133.035
15,Corea del Sur,5.779,6.705,7.699,8.878,9.840,7.824,10.157,12.059,13.318,14.000,17.265,23.094,21.347,29.323,32.133,29.652,8.990,549,4.397
16,Costa Rica,5.024,5.820,5.192,6.896,7.630,7.842,8.765,9.302,9.319,9.489,11.452,24.874,29.836,18.468,17.387,21.258,4.087,2.618,19.382
17,Croacia,298,324,483,617,824,944,681,864,884,848,981,842,984,1.056,1.101,1.328,282,194,785
18,Cuba,1.165,1.634,2.115,2.480,3.285,5.139,4.855,4.172,3.755,3.562,4.248,4.604,4.984,4.208,9.724,12.173,2.025,243,2.268
19,Dinamarca,2.927,4.000,4.794,5.031,5.854,5.903,5.760,6.023,5.884,5.761,6.221,6.737,6.501,6.534,7.124,7.394,1.552,665,4.879
20,Ecuador,110.998,101.489,112.100,119.471,128.063,136.054,152.445,160.841,176.071,208.358,223.995,256.127,318.172,288.987,293.231,339.486,66.547,9.869,156.940
21,EE.UU.,278.025,330.358,330.845,381.828,420.608,426.325,417.232,411.935,447.218,487.328,514.227,545.212,586.479,598.685,641.280,656.991,127.555,177.000,464.759
22,Egipto,77,81,94,98,88,131,141,222,225,209,326,413,347,247,292,343,55,97,174
23,El Salvador,1.722,1.920,2.226,2.737,2.822,2.938,2.663,4.948,5.746,5.404,5.100,6.644,5.962,6.835,5.884,5.856,710,739,5.088
24,Eslovaquia,189,242,566,601,887,991,910,898,1.139,1.280,1.282,1.450,1.717,1.529,1.777,2.270,345,200,1.287
25,Eslovenia,820,1.109,1.247,1.031,1.495,1.062,881,883,797,915,919,930,913,978,1.157,1.286,149,276,958
26,España,49.779,68.595,75.976,72.180,84.906,90.714,96.666,105.231,111.041,122.567,131.174,138.902,144.927,147.214,147.830,158.118,28.497,32.855,94.665
