N,pais,Año2004,Año 2005,Año 2006,Año 2007,Año 2008,año 2009,año 2010,año 2011,año 2012,año 2013,año 2014,año 2015,año 2016,año 2017,año 2018,año 2019,año 2020,año 2021,año 2022
1,Alemania,35.82,43.66,43.76,50.45,52.17,51.86,53.20,56.20,62.05,62.57,68.70,74.49,74.21,78.20,81.68,86.31,17.78,9.15,41.55
2,Argentina,50.27,61.69,69.26,82.72,97.48,121.17,127.06,147.40,158.95,155.15,155.93,170.96,175.49,205.47,216.04,214.61,45.09,14.05,80.43
3,Aruba,651.00,463.00,443.00,483.00,260.00,254.00,253.00,286.00,307.00,355.00,186.00,217.00,242.00,190.00,200.00,300.00,33.00,94.00,124.00
4,Australia,16.53,20.33,22.18,25.62,28.54,30.95,29.66,30.44,35.75,36.37,41.84,41.57,42.87,41.81,39.57,41.35,6.38,572.00,9.35
5,Austria,4.65,5.93,6.14,6.69,6.03,6.09,6.45,6.79,7.50,7.81,7.96,8.15,8.19,8.87,9.08,9.62,1.66,841.00,4.23
6,Bélgica,8.37,8.98,8.99,12.01,12.74,11.87,11.52,12.38,13.21,13.89,15.40,15.52,16.70,16.18,16.66,16.95,2.17,2.02,10.28
7,Bielorrusia,579.00,816.00,758.00,464.00,332.00,330.00,551.00,367.00,781.00,512.00,431.00,725.00,756.00,1.36,553.00,596.00,133.00,105.00,234.00
8,Bolivia,66.93,72.91,85.37,87.40,86.62,93.41,86.18,88.04,101.55,111.98,126.69,128.94,136.81,146.66,158.97,188.64,52.45,4.34,97.78
9,Brasil,34.42,44.54,45.27,53.56,64.57,82.76,87.67,117.54,126.09,143.54,147.88,148.31,148.30,173.75,177.71,193.90,34.45,10.54,89.42
10,Bulgaria,193.00,326.00,437.00,550.00,740.00,753.00,686.00,917.00,1.06,965.00,1.25,1.28,1.49,1.49,1.71,1.67,304.00,331.00,1.13
11,Canadá,26.67,35.20,41.44,43.99,51.98,54.60,52.96,57.45,61.36,62.82,68.19,70.56,71.83,77.56,86.63,94.48,19.38,7.87,40.66
12,Chile,306.28,344.30,420.80,470.46,452.71,464.15,595.94,741.72,806.93,886.49,903.79,984.58,"1,055,880","1,101,055","1,159,188","1,196,234",288.40,36.74,365.62
13,China (R.P.),4.99,5.30,7.88,7.47,8.04,9.26,9.48,11.90,12.18,12.86,16.61,19.24,25.65,31.41,37.74,41.07,5.75,2.23,7.71
14,Colombia,39.73,49.14,54.51,62.81,76.56,87.23,98.64,112.82,133.98,134.73,151.88,165.38,189.75,200.81,219.45,223.94,48.95,40.95,133.04
15,Corea del Sur,5.78,6.71,7.70,8.88,9.84,7.82,10.16,12.06,13.32,14.00,17.27,23.09,21.35,29.32,32.13,29.65,8.99,549.00,4.40
16,Costa Rica,5.02,5.82,5.19,6.90,7.63,7.84,8.77,9.30,9.32,9.49,11.45,24.87,29.84,18.47,17.39,21.26,4.09,2.62,19.38
17,Croacia,298.00,324.00,483.00,617.00,824.00,944.00,681.00,864.00,884.00,848.00,981.00,842.00,984.00,1.06,1.10,1.33,282.00,194.00,785.00
18,Cuba,1.17,1.63,2.12,2.48,3.29,5.14,4.86,4.17,3.76,3.56,4.25,4.60,4.98,4.21,9.72,12.17,2.03,243.00,2.27
19,Dinamarca,2.93,4.00,4.79,5.03,5.85,5.90,5.76,6.02,5.88,5.76,6.22,6.74,6.50,6.53,7.12,7.39,1.55,665.00,4.88
20,Ecuador,111.00,101.49,112.10,119.47,128.06,136.05,152.45,160.84,176.07,208.36,224.00,256.13,318.17,288.99,293.23,339.49,66.55,9.87,156.94
21,EE.UU.,278.03,330.36,330.85,381.83,420.61,426.33,417.23,411.94,447.22,487.33,514.23,545.21,586.48,598.69,641.28,656.99,127.56,177.00,464.76
22,Egipto,77.00,81.00,94.00,98.00,88.00,131.00,141.00,222.00,225.00,209.00,326.00,413.00,347.00,247.00,292.00,343.00,55.00,97.00,174.00
23,El Salvador,1.72,1.92,2.23,2.74,2.82,2.94,2.66,4.95,5.75,5.40,5.10,6.64,5.96,6.84,5.88,5.86,710.00,739.00,5.09
24,Eslovaquia,189.00,242.00,566.00,601.00,887.00,991.00,910.00,898.00,1.14,1.28,1.28,1.45,1.72,1.53,1.78,2.27,345.00,200.00,1.29
25,Eslovenia,820.00,1.11,1.25,1.03,1.50,1.06,881.00,883.00,797.00,915.00,919.00,930.00,913.00,978.00,1.16,1.29,149.00,276.00,958.00
26,España,49.78,68.60,75.98,72.18,84.91,90.71,96.67,105.23,111.04,122.57,131.17,138.90,144.93,147.21,147.83,158.12,28.50,32.86,94.67
27,Filipinas,652.00,717.00,1.08,1.78,2.53,2.49,2.27,2.63,2.70,2.60,3.21,2.91,3.42,3.52,3.41,4.64,873.00,205.00,2.82
28,Finlandia,1.66,2.10,2.21,2.23,2.51,2.33,2.45,2.45,2.63,2.87,3.03,2.77,2.80,2.65,2.85,2.59,543.00,192.00,1.23
29,Francia,44.52,52.88,54.31,59.78,63.92,66.07,66.99,72.90,81.85,81.90,82.26,88.92,92.32,96.28,100.95,108.87,16.35,12.91,54.15
30,Grecia,1.39,1.73,1.50,1.75,2.01,1.66,1.63,1.48,1.23,1.29,1.57,1.46,1.76,2.14,2.53,2.75,402.00,481.00,2.15
31,Guatemala,1.96,2.31,2.19,2.47,3.03,2.97,2.80,3.45,3.49,3.83,3.90,4.49,6.25,6.13,6.62,8.24,1.11,1.84,6.12
32,Honduras,884.00,1.08,1.14,1.34,1.34,1.38,1.48,1.93,1.99,2.35,2.31,2.50,3.17,2.75,3.43,3.95,638.00,781.00,2.89
33,Hong Kong,480.00,504.00,591.00,513.00,379.00,369.00,615.00,952.00,1.03,1.46,1.98,2.54,2.91,3.02,4.19,4.10,975.00,45.00,343.00
34,Hungría,1.07,1.44,1.30,1.81,2.23,1.44,1.23,1.33,1.37,1.88,1.80,2.00,1.94,2.11,2.35,2.71,559.00,616.00,1.97
35,India,989.00,1.36,1.47,2.07,3.05,3.41,3.53,3.47,4.17,4.45,5.27,5.68,5.90,7.20,8.74,9.51,1.56,551.00,4.96
36,Indonesia,536.00,567.00,362.00,775.00,1.14,1.11,1.43,1.53,1.58,1.89,2.10,1.49,2.03,2.42,2.99,4.17,519.00,70.00,750.00
37,Irlanda,5.00,6.58,7.29,8.78,10.02,7.59,6.35,5.53,5.66,5.90,5.92,6.22,6.45,6.59,7.54,7.35,1.00,414.00,4.39
38,Israel,8.51,9.37,10.66,11.74,12.57,13.66,12.98,12.81,13.08,11.81,13.62,13.76,14.22,14.13,15.29,16.66,3.31,3.31,13.43
39,Italia,29.39,33.64,33.87,34.62,39.83,40.43,41.83,45.19,46.85,47.62,55.11,60.39,66.70,73.96,73.65,73.26,11.34,10.95,39.99
40,Japón,29.83,35.52,36.83,39.86,46.06,40.02,30.60,43.79,56.53,67.64,59.85,55.31,47.09,48.17,47.61,40.73,9.67,1.08,5.17
41,Lituania,148.00,208.00,385.00,484.00,742.00,441.00,487.00,523.00,600.00,844.00,868.00,814.00,1.04,1.14,1.35,1.30,351.00,192.00,949.00
42,Malasia,285.00,345.00,512.00,526.00,869.00,748.00,916.00,1.25,1.16,1.56,1.90,2.05,1.72,2.07,2.31,2.43,294.00,39.00,514.00
43,Marruecos,415.00,73.00,117.00,261.00,101.00,136.00,130.00,229.00,225.00,241.00,264.00,287.00,366.00,295.00,347.00,429.00,49.00,37.00,171.00
44,México,25.14,29.56,29.82,31.64,30.59,28.62,38.10,46.01,51.23,60.27,67.02,76.37,87.44,93.76,103.62,128.83,22.59,24.29,76.43
45,Nicaragua,880.00,945.00,912.00,1.09,1.06,1.20,1.12,1.27,1.39,1.29,1.42,1.48,1.87,2.04,1.67,1.84,266.00,222.00,987.00
46,Noruega,3.70,3.89,4.72,5.14,6.19,5.70,5.68,5.83,5.92,5.91,6.13,5.89,5.52,5.45,5.50,5.67,1.04,326.00,2.54
47,Nueva Zelandia,2.91,3.50,4.15,4.84,5.30,5.26,5.36,5.13,5.62,5.41,6.58,6.48,8.10,8.27,7.69,7.51,771.00,119.00,1.64
48,Paises Bajos (Holanda),16.47,17.53,17.85,24.26,27.03,25.53,24.80,24.49,24.83,25.30,26.77,28.61,33.58,34.98,35.63,36.53,5.73,3.27,22.09
49,Panamá,4.25,7.63,8.36,6.51,7.34,8.96,10.72,10.96,12.91,15.12,16.37,17.54,19.83,20.25,22.04,22.39,3.66,2.08,12.19
50,Paraguay,1.71,1.97,2.05,2.40,2.78,3.91,3.91,4.63,4.76,5.10,6.45,8.19,8.23,11.44,11.56,11.35,2.35,1.44,4.67
51,Polonia,2.45,3.68,4.66,5.26,8.17,7.51,6.14,6.27,6.08,7.96,7.22,8.14,7.89,8.40,9.27,10.82,2.21,1.84,7.39
52,Portugal,1.71,2.40,2.21,2.56,3.26,3.34,3.51,4.03,4.60,5.25,5.81,6.30,7.15,7.91,8.84,9.73,1.61,1.09,5.76
53,Pto. Rico,1.51,1.18,842.00,1.28,683.00,501.00,506.00,557.00,591.00,664.00,691.00,905.00,879.00,802.00,861.00,1.41,165.00,330.00,974.00
54,Reino Unido,49.89,59.22,60.28,67.07,66.46,58.63,54.18,55.42,56.39,56.78,61.23,63.21,69.30,69.51,74.12,71.32,11.68,2.78,35.45
55,Rep. Checa,1.98,2.55,3.01,3.39,3.62,3.57,3.05,3.21,3.57,4.34,3.66,4.35,4.80,4.77,5.51,6.03,962.00,571.00,3.50
56,Rep. Dominicana,1.32,2.05,2.32,2.42,3.12,4.68,3.72,3.23,2.80,2.96,2.77,3.39,3.34,7.13,8.88,8.84,1.32,2.00,7.41
57,Rumania,220.00,354.00,508.00,678.00,1.40,1.25,1.24,1.51,1.79,1.98,1.97,2.19,2.65,2.84,3.34,3.54,658.00,1.04,3.09
